"Methodology *","Site *","Management *","Sample date: Year *","Sample date: Month *","Sample date: Day *","Depth *","Transect number *","Benthic attribute *"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Pseudopterogorgia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Montastrea"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Porites astreoides"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Lobophora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Colpophyllia natans"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Agaricia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Dictyota"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Gorgonia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Palythoa"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Plexaura"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Agaricia tenuifolia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Cliona"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Montastrea"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Acropora palmata"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Porites astreoides"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Lobophora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,3,"Siderastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Agaricia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Gorgonia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Dictyota"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Gorgonia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Palythoa"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Plexaura"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Agaricia tenuifolia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Cliona"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Pseudopterogorgia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Plexaura"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Montastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Acropora palmata"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Lobophora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Siderastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,"Millepora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Dictyota"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Agaricia"
"photo transect","22","Reserve",2021,3,8,NA,1,"Millepora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Dictyota"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Gorgonia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Palythoa"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Plexaura"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Agaricia tenuifolia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Diploria stigosa"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Cliona"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Pseudopterogorgia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Montastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Diploria stigosa"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Acropora palmata"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Siderastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Porites astreoides"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Lobophora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Siderastrea"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Millepora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,2,"Colpophyllia natans"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Agaricia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Dictyota"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Gorgonia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-7","Reserve",NA,NA,NA,NA,3,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Millepora alcicornis"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Palythoa"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Plexaura"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Lobophora"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Agaricia tenuifolia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Cliona"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Porites"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,"Pseudopterogorgia"
"photo transect","MBPC-4","Reserve",NA,NA,NA,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
