Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Width *,Fish size bin *,Reef slope,Observer emails *,Fish name *,Size *,Count *
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Lutjanus kasmira,25.5,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,8,6
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus gahhm,2.5,6
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Scolopsis bimaculata,2.5,3
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,8,4
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf sparoides,15.5,3
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf sexfasciatus,8,1
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon trifasciatus,8,2
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus barberinus,8,3
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,25.5,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus cyclostomus,25.5,3
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres hortulanus,25.5,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus alexanderae,8,2
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chromis ternatensis,2.5,1
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon lunula,2.5,2
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hardwicke,15.5,7
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hardwicke,8,2
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Bodianus axillaris,15.5,6
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chromis ternatensis,2.5,7
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Bodianus axillaris,15.5,5
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf sexfasciatus,8,2
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Amphiprion,8,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus sulfureus,8,3
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pseudochromis fuscus,2.5,1
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus chronixis,15.5,1
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres maculipinna,15.5,4
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus chronixis,25.5,2
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus cyclostomus,15.5,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus barberinus,15.5,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,25.5,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Stegastes fasciolatus,8,1
Mecumbo,Managed Access,2020,12,23,10,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Siganus luridus,2.5,25
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hardwicke,8,26
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,8,3
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Gomphosus caeruleus,8,5
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hebraicum,8,1
Mecumbo,Managed Access,2020,12,23,10,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Bodianus axillaris,8,15
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Scolopsis bimaculata,15.5,1
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pseudochromis fuscus,8,2
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres hortulanus,15.5,1
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Stegastes fasciolatus,8,6
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Zebrasoma rostratum,8,4
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus chronixis,25.5,3
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Amphiprion,25.5,7
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus sulfureus,2.5,13
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon kleinii,8,6
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus gahhm,15.5,7
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus gahhm,8,4
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon lunula,8,3
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon kleinii,8,9
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Zanclus cornutus,8,2
Mecumbo,Managed Access,2020,12,22,3,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,flat,marianoviz1988@gmail.com,Siganus luridus,2.5,760
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus cyclostomus,25.5,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Gomphosus caeruleus,15.5,1
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Lutjanus kasmira,8,4
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Lutjanus fulviflamma,8,2
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Zanclus cornutus,2.5,4
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus alexanderae,8,3
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon trifasciatus,15.5,3
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus barberinus,8,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon trifasciatus,8,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma lunare,15.5,5
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Stegastes fasciolatus,15.5,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hardwicke,15.5,4
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf sparoides,15.5,1
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Zanclus cornutus,8,5
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon trifasciatus,2.5,2
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon auriga,2.5,1
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus gahhm,15.5,3
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres maculipinna,8,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Zebrasoma rostratum,8,9
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Gomphosus caeruleus,25.5,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hebraicum,15.5,3
Mecumbo,Managed Access,2020,12,23,10,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Thalassoma hardwicke,8,8
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus sulfureus,2.5,6
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Acanthurus chronixis,8,5
Luanda_1,Reserve,2020,12,21,9,3,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Parupeneus barberinus,8,7
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres hortulanus,25.5,3
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf vaigiensis,15.5,3
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pomacentrus alexanderae,8,5
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Amphiprion,8,1
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres maculipinna,25.5,2
